IMF,amount,MAPE,MAE,MSE,RMSE,DTW
2_3_residue,141,1.01,25.47,3405.27,58.35,3708.053844826289
2_3_residue,142,0.93,20.42,2027.79,45.03,2729.3197705277034
2_3_residue,143,1.02,25.19,5356.42,73.19,3659.12074319805
2_3_residue,144,0.91,18.56,1688.04,41.09,2886.215725139443
2_3_residue,145,0.97,18.87,1834.66,42.83,2670.81085931666
2_3_residue,146,0.94,19.02,1832.42,42.81,2803.2589811196026
2_3_residue,147,0.91,21.31,3140.63,56.04,3161.190282592844
2_3_residue,148,0.86,17.72,1751.41,41.85,2583.764509211859
2_3_residue,149,0.86,16.8,1653.61,40.66,2250.587784830929
2_3_residue,150,0.84,16.36,1509.37,38.85,2251.010918689857
2_3_residue,151,0.72,15.04,1357.36,36.84,2062.908159299556
2_3_residue,152,0.74,15.25,1419.0,37.67,2121.597423092322
2_3_residue,153,0.74,14.72,1393.66,37.33,2060.5060528651093
2_3_residue,154,0.67,13.45,1206.36,34.73,1994.049315986168
2_3_residue,155,0.74,14.86,1431.84,37.84,2258.838848071382
2_3_residue,156,0.69,13.26,1243.41,35.26,2078.7104184392783
2_3_residue,157,0.61,12.0,1068.83,32.69,1870.536631830097
2_3_residue,158,0.58,11.49,1031.2,32.11,1765.9340802979912
2_3_residue,159,0.56,10.8,1002.52,31.66,1606.4629096453634
2_3_residue,160,0.58,11.06,1001.28,31.64,1703.7803864299535
2_3_residue,161,0.53,11.11,1073.37,32.76,1656.3401254749597
2_3_residue,162,0.54,10.36,1009.97,31.78,1618.633768127159
2_3_residue,163,0.55,10.61,1100.36,33.17,1409.8564493772824
2_3_residue,164,0.47,9.84,923.59,30.39,1490.438231731916
2_3_residue,165,0.55,10.6,1054.85,32.48,1476.019086340117
2_3_residue,166,0.42,8.96,952.58,30.86,1297.4641671945565
2_3_residue,167,0.4,7.88,815.73,28.56,1223.6340403034055
2_3_residue,168,0.39,7.81,869.41,29.49,1180.6164998284833
2_3_residue,169,0.34,7.07,781.26,27.95,1053.56932957541
2_3_residue,170,0.31,6.67,728.03,26.98,985.5852723166248
2_3_residue,171,0.3,6.19,729.46,27.01,975.5140394326992
2_3_residue,172,0.29,7.23,875.56,29.59,1093.0289822009315
2_3_residue,173,0.25,5.58,682.85,26.13,825.2362540773045
2_3_residue,174,0.19,4.45,577.05,24.02,752.9346468896765
2_3_residue,175,0.23,5.41,702.07,26.5,829.0960041389205
2_3_residue,176,0.13,3.62,559.31,23.65,542.9612398251959
2_3_residue,177,0.12,3.88,575.67,23.99,648.0929778972825
2_3_residue,178,0.11,3.71,573.49,23.95,617.0783450963106
2_3_residue,179,0.09,2.71,506.62,22.51,473.9704619341519
2_3_residue,180,0.11,2.91,558.08,23.62,470.5678052051662
2_3_residue,181,0.05,1.9,466.35,21.6,344.40130391968137
